split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,brier_score
threshold_selection,0.15,0.9501235768404845,0.7082793663445253,0.9028448056896113,0.7938138574060634,0.9832055201144361,0.9228688919320861,0.04425032870377367,0.09715519431038862,63241,2928,765,7109,0.0232579852039276
threshold_selection,0.16,0.9539861972097294,0.7323899698262407,0.8939547879095758,0.8051472690877896,0.9832055201144361,0.9228688919320861,0.038870165787604466,0.10604521209042418,63597,2572,835,7039,0.0232579852039276
threshold_selection,0.17,0.9554718204286698,0.7421436884985716,0.8907797815595632,0.8096969696969697,0.9832055201144361,0.9228688919320861,0.03682993546827064,0.10922021844043688,63732,2437,860,7014,0.0232579852039276
threshold_selection,0.18,0.9557149224099509,0.7438183168842195,0.8901447802895606,0.8104295542579638,0.9832055201144361,0.9228688919320861,0.03648234067312488,0.10985521971043942,63755,2414,865,7009,0.0232579852039276
threshold_selection,0.19,0.9557149224099509,0.7438183168842195,0.8901447802895606,0.8104295542579638,0.9832055201144361,0.9228688919320861,0.03648234067312488,0.10985521971043942,63755,2414,865,7009,0.0232579852039276
threshold_selection,0.2,0.9557014167443243,0.7437911271492252,0.8900177800355601,0.8103607770582794,0.9832055201144361,0.9228688919320861,0.03648234067312488,0.10998221996443992,63755,2414,866,7008,0.0232579852039276
threshold_selection,0.21,0.9557284280755777,0.7439490445859872,0.8900177800355601,0.8104544928877068,0.9832055201144361,0.9228688919320861,0.036452115038764374,0.10998221996443992,63757,2412,866,7008,0.0232579852039276
threshold_selection,0.22,0.9575246816039329,0.7577673607325848,0.8827787655575311,0.8155100604211885,0.9832055201144361,0.9228688919320861,0.033580679774516765,0.11722123444246889,63947,2222,923,6951,0.0232579852039276
threshold_selection,0.23,0.9592128898072741,0.7712944332662642,0.8763017526035052,0.8204518430439952,0.9832055201144361,0.9228688919320861,0.030920823950792667,0.12369824739649479,64123,2046,974,6900,0.0232579852039276
threshold_selection,0.24,0.9592128898072741,0.7712944332662642,0.8763017526035052,0.8204518430439952,0.9832055201144361,0.9228688919320861,0.030920823950792667,0.12369824739649479,64123,2046,974,6900,0.0232579852039276
threshold_selection,0.25,0.9592128898072741,0.7712944332662642,0.8763017526035052,0.8204518430439952,0.9832055201144361,0.9228688919320861,0.030920823950792667,0.12369824739649479,64123,2046,974,6900,0.0232579852039276
